incident_id,latitude,longitude,hour_of_day
48806891,38.98325,-76.94702,22
48802865,38.9867172,-76.9469544,23
176599077,38.9857508,-76.9469318,2
325286365,38.9874,-76.9468,0
178532994,38.9874,-76.9468,2
185536664,38.9874,-76.9468,2
139550033,38.9874,-76.9468,3
271567583,38.9874,-76.9468,6
613360541,38.9874,-76.9468,7
788569630,38.9922,-76.9468,9
48806895,38.9922,-76.9468,22
48806898,38.9922,-76.9468,22
48802866,38.9874,-76.9468,23
48802867,38.9922,-76.9468,23
48802868,38.9922,-76.9468,23
327390431,38.9859811,-76.9467969,0
332057749,38.9859811,-76.9467969,0
347683006,38.991831,-76.9467969,0
350379578,38.991831,-76.9467969,0
353949770,38.991831,-76.9467969,0
430365074,38.991831,-76.9467969,0
443091651,38.991831,-76.9467969,0
826482041,38.991831,-76.9467969,0
742122683,38.991831,-76.9467969,0
41402248,38.991831,-76.9467969,0
748336645,38.991831,-76.9467969,1
749039621,38.991831,-76.9467969,1
749690394,38.991831,-76.9467969,1
750358724,38.991831,-76.9467969,1
755441466,38.991831,-76.9467969,1
188358823,38.991831,-76.9467969,2
201235137,38.991831,-76.9467969,2
219748605,38.991831,-76.9467969,2
219748606,38.991831,-76.9467969,2
219748607,38.991831,-76.9467969,2
53952770,38.991831,-76.9467969,3
62915664,38.991831,-76.9467969,3
95934513,38.991831,-76.9467969,3
598067747,38.991831,-76.9467969,3
260348122,38.991831,-76.9467969,3
672971293,38.991831,-76.9467969,4
691088483,38.991831,-76.9467969,4
682975925,38.991831,-76.9467969,4
629372414,38.991831,-76.9467969,7
6636133,38.991831,-76.9467969,8
6636134,38.991831,-76.9467969,8
28928130,38.991831,-76.9467969,8
780214948,38.991831,-76.9467969,9
805057834,38.991831,-76.9467969,9
48806899,38.991831,-76.9467969,22
48806900,38.991831,-76.9467969,22
48806908,38.991831,-76.9467969,22
48802869,38.991831,-76.9467969,23
48802870,38.991831,-76.9467969,23
48802873,38.991831,-76.9467969,23
48802874,38.991831,-76.9467969,23
48802875,38.991831,-76.9467969,23
48804365,38.98873,-76.94678,8
783189521,38.98594658,-76.94672544,9
92788986,38.9859,-76.9467,0
48811496,38.9859,-76.9467,0
140001833,38.9859,-76.9467,0
141541461,38.9918,-76.9467,0
280776524,38.9918,-76.9467,0
347683008,38.9918,-76.9467,0
812748709,38.9918,-76.9467,0
102781269,38.9919,-76.9467,0
758562830,38.9859,-76.9467,1
757767192,38.9918,-76.9467,1
762610623,38.9918,-76.9467,1
754724324,38.9918,-76.9467,1
733648642,38.9918,-76.9467,1
748511207,38.9918,-76.9467,1
739991962,38.9918,-76.9467,1
225772518,38.9859,-76.9467,2
235505155,38.9918,-76.9467,2
235505163,38.9918,-76.9467,2
235505578,38.9918,-76.9467,2
686076937,38.9919,-76.9467,4
691088485,38.9919,-76.9467,4
299848373,38.9918,-76.9467,6
48805085,38.9918,-76.9467,8
48805592,38.9918,-76.9467,8
48805898,38.9918,-76.9467,8
48805944,38.9918,-76.9467,8
795605270,38.9918,-76.9467,9
805057838,38.9918,-76.9467,9
805677046,38.9918,-76.9467,9
48806921,38.9859,-76.9467,22
48806931,38.9918,-76.9467,22
48806941,38.9918,-76.9467,22
48806949,38.9918,-76.9467,22
48806950,38.9918,-76.9467,22
48806952,38.9918,-76.9467,22
48809429,38.9918,-76.9467,22
48810173,38.9919,-76.9467,22
48811381,38.9919,-76.9467,22
48812390,38.9919,-76.9467,22
48802877,38.9918,-76.9467,23
48802878,38.9918,-76.9467,23
48802880,38.9918,-76.9467,23
48802881,38.9918,-76.9467,23
48802885,38.9918,-76.9467,23
48802886,38.9918,-76.9467,23
48802887,38.9919,-76.9467,23
48802888,38.9919,-76.9467,23
118131073,38.99180869,-76.94666007,0
123159175,38.99180869,-76.94666007,0
61293210,38.99180869,-76.94666007,0
758784623,38.99180869,-76.94666007,1
239075272,38.99180869,-76.94666007,2
243288623,38.99180869,-76.94666007,2
278316131,38.99180869,-76.94666007,3
696069920,38.99180869,-76.94666007,4
48806337,38.99180869,-76.94666007,8
48808175,38.99180869,-76.94666007,8
816525689,38.99180869,-76.94666007,9
48812399,38.99180869,-76.94666007,22
799913414,38.99180869,-76.94666007,22
89219972,38.99182,-76.94664,0
750714445,38.99182,-76.94664,1
304588301,38.99182,-76.94664,3
360184302,38.99182,-76.94664,3
705746112,38.99182,-76.94664,4
48808212,38.99182,-76.94664,8
48811968,38.99182,-76.94664,9
48806102,38.99182,-76.94664,9
53952780,38.99182,-76.94664,9
424244210,38.99182,-76.94664,22
48802893,38.99182,-76.94664,23
265581592,38.98519368,-76.94661191,2
266810341,38.98519368,-76.94661191,2
89996146,38.99228715,-76.94660249,0
272208376,38.99228715,-76.94660249,2
48810282,38.9817,-76.9466,0
48810327,38.9852,-76.9466,0
48810357,38.9923,-76.9466,0
214182391,38.9923,-76.9466,1
279947374,38.9852,-76.9466,2
376712196,38.9923,-76.9466,3
400460387,38.9923,-76.9466,3
737542827,38.9817,-76.9466,5
61293497,38.9923,-76.9466,9
48810435,38.98803949,-76.94651979,0
222421618,38.98803949,-76.94651979,1
230759916,38.98803949,-76.94651979,1
320940936,38.98803949,-76.94651979,2
320940941,38.98803949,-76.94651979,2
634423559,38.98803949,-76.94651979,7
152973294,38.98803949,-76.94651979,7
84588265,38.98803949,-76.94651979,9
111493265,38.98803949,-76.94651979,9
109421879,38.98803949,-76.94651979,22
48802894,38.98803949,-76.94651979,23
48802896,38.98803949,-76.94651979,23
48802898,38.98803949,-76.94651979,23
48810453,38.988,-76.9465,0
721734471,38.988,-76.9465,0
48812543,38.988,-76.9465,0
231509829,38.988,-76.9465,1
707560907,38.988,-76.9465,4
369530618,38.98798,-76.9465,6
198007391,38.98798,-76.9465,7
249563406,38.98798,-76.9465,7
48808214,38.98798,-76.9465,8
48808230,38.98798,-76.9465,8
48808236,38.988,-76.9465,8
48808243,38.988,-76.9465,8
119604756,38.988,-76.9465,9
91393644,38.988,-76.9465,22
48802899,38.988,-76.9465,23
48802900,38.988,-76.9465,23
48802901,38.988,-76.9465,23
342420850,38.99976945,-76.946488,2
207528524,38.99083,-76.94648,0
115470902,38.99083,-76.94648,0
244535143,38.99083,-76.94648,1
379275223,38.99083,-76.94648,2
122087695,38.99083,-76.94648,9
260980595,38.9897,-76.9464,7
283242044,38.9897,-76.9464,7
283242045,38.98974,-76.94626,7
133689011,38.98974,-76.94626,9
91349766,38.9817,-76.9462,0
99934261,38.9817,-76.9462,0
255383413,38.9817,-76.9462,1
336197800,38.9817,-76.9462,1
737858592,38.9817,-76.9462,5
726773086,38.9817,-76.9462,5
383169461,38.9817,-76.9462,6
121353853,38.9817,-76.9462,22
61293114,38.9817,-76.9462,22
90195398,38.9817,-76.9462,22
48802774,38.9817,-76.9462,22
48802902,38.9817,-76.9462,23
61293273,38.98447107,-76.94613564,9
741632057,38.9832,-76.9461,0
353401713,38.9853,-76.9461,0
784590196,38.9853,-76.9461,0
762457418,38.9867,-76.9461,0
249563399,38.9872,-76.9461,0
397458484,38.9832,-76.9461,2
447511846,38.9872,-76.9461,3
48808245,38.9887,-76.9461,8
48802777,38.9832,-76.9461,22
48802854,38.9867,-76.9461,22
48802871,38.9867,-76.9461,22
48802884,38.9872,-76.9461,22
48802903,38.9832,-76.9461,23
48802904,38.9867,-76.9461,23
48802905,38.9867,-76.9461,23
708018366,38.9852584,-76.9460767,4
413438646,38.98673036,-76.94606709,2
48808249,38.98673036,-76.94606709,8
48802927,38.98673036,-76.94606709,22
48804410,38.9852579,-76.94606396,0
48807796,38.9852579,-76.94606396,0
48810683,38.9852579,-76.94606396,0
791289922,38.9852579,-76.94606396,3
48808250,38.9852579,-76.94606396,8
48802906,38.9852579,-76.94606396,23
84421694,38.9844118,-76.9460316,9
807339223,38.98677,-76.94601,3
91278984,38.98677,-76.94601,9
717232204,38.98522,-76.946,0
765794063,38.9867,-76.946,0
340805744,38.9925,-76.946,1
815531618,38.9832,-76.946,3
710696994,38.9925,-76.946,4
742048556,38.9867,-76.946,5
386013931,38.9891,-76.946,6
48808255,38.98522,-76.946,8
48808257,38.98522,-76.946,8
48808260,38.98522,-76.946,8
48808273,38.9925,-76.946,8
72291513,38.98522,-76.946,9
48802907,38.9832,-76.946,23
540110138,38.98373,-76.94591,0
48802910,38.98373,-76.94591,23
368150809,38.99243933,-76.94590208,1
412140892,38.99243933,-76.94590208,1
436694224,38.99243933,-76.94590208,1
491676193,38.99243933,-76.94590208,1
491676195,38.99243933,-76.94590208,1
415150436,38.99243933,-76.94590208,2
415150438,38.99243933,-76.94590208,2
418468976,38.99243933,-76.94590208,2
778526047,38.99243933,-76.94590208,3
805408550,38.99243933,-76.94590208,3
48802964,38.99243933,-76.94590208,22
48802911,38.99243933,-76.94590208,23
48802912,38.99243933,-76.94590208,23
48802913,38.99243933,-76.94590208,23
132124831,38.9835,-76.9459,0
818415315,38.9835,-76.9459,0
49270156,38.9924,-76.9459,0
808987863,38.9924,-76.9459,0
511273271,38.9831,-76.9459,1
532479300,38.9924,-76.9459,1
822471750,38.9844,-76.9459,3
711734867,38.9853,-76.9459,3
712559342,38.9924,-76.9459,4
286508314,38.9924,-76.9459,7
290196294,38.9924,-76.9459,7
48802987,38.9831,-76.9459,22
478304970,38.9831,-76.9459,22
537679645,38.9835,-76.9459,22
742467967,38.9924,-76.9459,22
48802916,38.9835,-76.9459,23
48802917,38.9924,-76.9459,23
106551858,38.9837153,-76.9458966,0
534784813,38.9837153,-76.9458966,1
457288336,38.9834749,-76.9458966,2
718108434,38.9834749,-76.9458966,4
299848374,38.9837153,-76.9458966,7
111444630,38.99245,-76.94589,0
48809022,38.99245,-76.94589,0
457288341,38.99245,-76.94589,2
458026900,38.99245,-76.94589,2
485877286,38.99245,-76.94589,2
495147225,38.99245,-76.94589,2
316197102,38.99245,-76.94589,7
48808277,38.99245,-76.94589,8
796504484,38.99245,-76.94589,22
552664821,38.98295761,-76.94584091,1
539373927,38.98295761,-76.94584091,2
720601931,38.98295761,-76.94584091,3
719629108,38.98295761,-76.94584091,4
320328447,38.98299,-76.94583,7
555097843,38.9835,-76.9458,1
349628074,38.9884,-76.9458,7
48808278,38.9884,-76.9458,8
48808285,38.9886,-76.9458,8
48803024,38.9835,-76.9458,22
48802918,38.9835,-76.9458,23
731314164,38.98347623,-76.94579446,3
165829789,38.98857176,-76.94575405,0
416039052,38.98943571,-76.94573659,6
48808289,38.9869529,-76.945649,8
48808296,38.9869529,-76.945649,8
48808299,38.9869529,-76.945649,8
48808316,38.9869529,-76.945649,8
774958995,38.9869529,-76.945649,9
540110139,38.9869529,-76.945649,9
767601679,38.9840052,-76.9456265,0
527456874,38.985047,-76.9456265,0
564355243,38.9840052,-76.9456265,1
811765450,38.9840052,-76.9456265,2
826482040,38.985047,-76.9456265,2
739200652,38.9840052,-76.9456265,3
747411280,38.9840052,-76.9456265,3
759713916,38.985047,-76.9456265,3
48803041,38.9840052,-76.9456265,22
127599074,38.985047,-76.9456265,22
6636084,38.985047,-76.9456265,22
48805263,38.98373319,-76.94560596,0
48810587,38.98373319,-76.94560596,0
111030491,38.98373319,-76.94560596,0
546138514,38.98373319,-76.94560596,9
774144590,38.98373319,-76.94560596,22
140855937,38.9818,-76.9456,0
71605525,38.9818,-76.9456,0
754724329,38.9837,-76.9456,0
719797427,38.9837,-76.9456,0
824938240,38.9851,-76.9456,0
753452160,38.9851,-76.9456,0
755958234,38.9851,-76.9456,0
