latitude,longitude,hour_of_day
38.9796,-76.9379,20
38.9796,-76.9379,20
38.97960632,-76.93791595,10
38.97960632,-76.93791595,14
38.97960632,-76.93791595,16
38.97960632,-76.93791595,16
38.97960632,-76.93791595,17
38.97960632,-76.93791595,17
38.97960632,-76.93791595,19
38.97960632,-76.93791595,20
38.9796073,-76.9378366,9
38.9796207,-76.9379448,9
38.97963849,-76.93784125,20
38.97964868,-76.93798169,10
38.97964868,-76.93798169,12
38.97964868,-76.93798169,14
38.97964868,-76.93798169,15
38.97964868,-76.93798169,18
38.97964868,-76.93798169,19
38.97964868,-76.93798169,20
38.9796618,-76.9401149,17
38.9797,-76.9424,13
38.9797,-76.9424,14
38.9797,-76.9424,20
38.9797,-76.9258,17
38.97974034,-76.94243963,9
38.97974034,-76.94243963,11
38.97974034,-76.94243963,14
38.97974034,-76.94243963,20
38.9798,-76.9378,10
38.9798,-76.9378,11
38.9798,-76.9378,16
38.9798,-76.9378,17
38.97980785,-76.93783366,20
38.97984765,-76.93939408,12
38.9799,-76.9337,9
38.9799,-76.9337,18
38.97990798,-76.93983902,17
38.97997487,-76.93379202,19
38.98001061,-76.94134508,12
38.98001061,-76.94134508,14
38.9800173,-76.9270749,9
38.9800173,-76.9270749,12
38.98002,-76.92707,13
38.98002343,-76.93799202,11
38.98009215,-76.93447868,17
38.9801,-76.9411,18
38.9801,-76.9411,19
38.9801,-76.9345,20
38.9801,-76.9289,17
38.980125,-76.942355,17
38.980125,-76.942355,18
38.98014986,-76.9344814,19
38.98017994,-76.92886052,18
38.9802,-76.9344,14
38.9802,-76.9289,19
38.9802951,-76.9352259,19
38.9803,-76.938,17
38.9803,-76.9352,14
38.9803,-76.9351,15
38.98032729,-76.9351288,14
38.98059182,-76.93543975,10
38.9806,-76.9367,11
38.9806,-76.9367,12
38.9806,-76.9367,19
38.9806,-76.9359,18
38.98061,-76.93546,16
38.980666,-76.9369189,9
38.980666,-76.9369189,11
38.980666,-76.9369189,12
38.980666,-76.9369189,13
38.980666,-76.9369189,13
38.980666,-76.9369189,14
38.980666,-76.9369189,15
38.980666,-76.9369189,15
38.980666,-76.9369189,16
38.980666,-76.9369189,17
38.980666,-76.9369189,17
38.980666,-76.9369189,17
38.980666,-76.9369189,19
38.980666,-76.9369189,19
38.980666,-76.9369189,19
38.980666,-76.9369189,19
38.9806689,-76.935061,19
38.98067,-76.93692,17
38.9807,-76.9359,12
38.9807,-76.9359,13
38.98076971,-76.93631307,12
38.9808,-76.938,11
38.9808,-76.938,19
38.9808,-76.9319,11
38.9808,-76.9319,14
38.9808,-76.9319,19
38.9808442,-76.937818,11
38.98085253,-76.93791794,9
38.98085253,-76.93791794,11
38.98085253,-76.93791794,12
38.98085253,-76.93791794,12
38.98085253,-76.93791794,14
38.98085253,-76.93791794,14
38.98085253,-76.93791794,17
38.98085253,-76.93791794,17
38.98085253,-76.93791794,18
38.98085253,-76.93791794,19
38.98085253,-76.93791794,19
38.98085253,-76.93791794,19
38.98085253,-76.93791794,20
38.98085253,-76.93791794,20
38.98088,-76.93795,19
38.98089101,-76.93524568,15
38.9809,-76.9441,15
38.9809,-76.938,13
38.9809,-76.9379,12
38.9809,-76.9379,13
38.9809,-76.9379,14
38.9809,-76.9379,14
38.9809,-76.9379,17
38.9809,-76.9379,17
38.9809,-76.9352,12
38.9809,-76.9352,16
38.9809,-76.9352,16
38.980949,-76.937381,15
38.980949,-76.937381,17
38.98095826,-76.94409289,17
38.98097706,-76.93894634,15
38.98098823,-76.93576151,13
38.98098823,-76.93576151,20
38.981,-76.9441,9
38.981,-76.9441,9
38.981,-76.9441,20
38.981,-76.94409,17
38.981,-76.9439,9
38.981,-76.9408,18
38.981,-76.9389,14
38.981,-76.9358,10
38.981,-76.9358,16
38.981,-76.9358,17
38.981,-76.9358,18
38.981,-76.9358,19
38.981,-76.9358,20
38.981,-76.9358,20
38.981,-76.9358,20
38.981,-76.93,18
38.9810215,-76.93886402,16
38.9810215,-76.93886402,17
38.98102686,-76.93890339,17
38.98102686,-76.93890339,18
38.98103,-76.93583,10
38.98103,-76.93583,10
38.98103,-76.93583,11
38.98103,-76.93583,17
38.98103,-76.93583,17
38.98103341,-76.93976847,11
38.98103578,-76.94410023,20
38.98104601,-76.94082575,16
38.9811,-76.9398,15
38.9811,-76.9333,16
38.98111652,-76.93308385,20
38.98117327,-76.94014226,15
38.98117327,-76.94014226,16
38.98117327,-76.94014226,20
38.98118348,-76.93649162,13
38.9812,-76.9433,17
38.9812,-76.9401,15
38.9812,-76.9401,15
38.9812,-76.9401,16
38.9812,-76.9365,9
38.9812,-76.9333,16
38.9812,-76.9332,16
38.98127,-76.94133,12
38.98127,-76.94133,12
38.98127,-76.94133,15
38.98127,-76.94133,17
38.98127496,-76.9340383,19
38.98127511,-76.93517695,17
38.98127511,-76.93517695,18
38.9812785,-76.9340409,20
38.98128969,-76.94138867,9
38.98128969,-76.94138867,9
38.98128969,-76.94138867,10
38.98128969,-76.94138867,12
38.98128969,-76.94138867,14
38.98128969,-76.94138867,15
